name,homepage,count,booktitle
Vinayak R. Borkar,https://www.linkedin.com/in/vinayakborkar,2,SIGMOD Conference
Kenneth Salem,https://scholar.google.com/citations?user=t7z2V78AAAAJ,2,SIGMOD Conference
Calisto Zuzarte,https://scholar.google.com/citations?user=KBFwwPMAAAAJ,4,SIGMOD Conference
Ada Wai-Chee Fu,https://scholar.google.com/citations?user=tcwyqtUAAAAJ,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Haixun Wang,https://www.linkedin.com/in/haixun,3,SIGMOD Conference
Vipin Kumar 0001,https://scholar.google.com/citations?user=BnxU9TEAAAAJ,1,SIGMOD Conference
Reynold Cheng,https://scholar.google.com/citations?user=7R7MSb4AAAAJ,1,SIGMOD Conference
Haixun Wang,https://www.linkedin.com/in/haixun,1,ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery
Giansalvatore Mecca,https://scholar.google.com/citations?user=4fAH8jIAAAAJ,2,SIGMOD Conference
Jianyong Wang 0001,https://scholar.google.com/citations?user=VfBaiG8AAAAJ,1,SIGMOD Conference
Mohamed F. Mokbel,https://scholar.google.com/citations?user=GHz1ZVIAAAAJ,1,SIGMOD Conference
Sriram Padmanabhan,http://www.research.ibm.com/people/s/srp/,1,SIGMOD Conference
Wang-Chien Lee,https://scholar.google.com/citations?user=9OdHL5wAAAAJ,1,SIGMOD Conference
Kwang-Ting (Tim) Cheng,https://scholar.google.com/citations?user=-SgpaF8AAAAJ,1,SIGMOD Conference
Eugene Agichtein,https://twitter.com/eugeneagichtein,2,SIGMOD Conference
Asuman Dogac,https://scholar.google.com/citations?user=LM17Jm4AAAAJ,1,SIGMOD Conference
Yannis Papakonstantinou,https://scholar.google.com/citations?user=81cvn3sAAAAJ,2,SIGMOD Conference
Arvind Arasu,http://research.microsoft.com/~arvinda/,2,SIGMOD Conference
Jussi Myllymaki,https://www.linkedin.com/in/jmylly,1,SIGMOD Conference
David B. Lomet,http://research.microsoft.com/en-us/people/lomet/,2,SIGMOD Conference
Xin Zhang 0002,https://www.linkedin.com/in/xinzweb,4,SIGMOD Conference
Mariano P. Consens,https://scholar.google.com/citations?user=FCDDJioAAAAJ,1,SIGMOD Conference
Nick Koudas,https://twitter.com/koudas,7,SIGMOD Conference
Venkatesh Ganti,http://research.microsoft.com/~vganti/,1,SIGMOD Conference
Jignesh M. Patel,https://www.linkedin.com/in/jigneshmpatel,2,SIGMOD Conference
Jos A. Blakeley,https://scholar.google.com/citations?user=VV3ByXUAAAAJ,2,SIGMOD Conference
Chengkai Li 0001,https://twitter.com/chengkai_li,2,SIGMOD Conference
Man Lung Yiu,https://www4.comp.polyu.edu.hk/~csmlyiu/,1,SIGMOD Conference
Frederick Reiss 0001,https://www.linkedin.com/in/fred-reiss/,1,SIGMOD Conference
Divesh Srivastava,https://scholar.google.com/citations?user=kGKlHp0AAAAJ,12,SIGMOD Conference
Nicolas Bruno,http://research.microsoft.com/~nicolasb/,4,SIGMOD Conference
Dik Lun Lee,https://www.scopus.com/authid/detail.uri?authorId=35242995000,1,SIGMOD Conference
Yanlei Diao,https://scholar.google.com/citations?user=VghIYWEAAAAJ,1,SIGMOD Conference
Hartmut Liefke,http://www.liefke.com/hartmut/,1,SIGMOD Conference
Raghav Kaushik,http://research.microsoft.com/en-us/people/skaushi/,3,SIGMOD Conference
Ioana Stanoi,http://www.research.ibm.com/people/i/irs/,1,SIGMOD Conference
Yannis Kotidis,http://www.research.att.com/~kotidis/,2,SIGMOD Conference
S. Sudarshan 0001,https://scholar.google.com/citations?user=KtP9-zYAAAAJ,5,SIGMOD Conference
