id,name,homepage,pubid,pubkey,booktitle,editor,year,title
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119299,conf/sigmod/ChaiVDN09,SIGMOD Conference,,2009,Efficiently incorporating user feedback into information extraction and integration programs.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119419,conf/sigmod/ChenGDYR09,SIGMOD Conference,,2009,Optimizing complex extraction programs over evolving text data.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119501,conf/sigmod/ChiangDN14,SIGMOD Conference,,2014,Modeling entity evolution for temporal record matching.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119556,conf/sigmod/ChuBCDN09,SIGMOD Conference,,2009,Combining keyword search and forms for ad hoc querying of databases.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119708,conf/sigmod/DasCDNKDARP17,SIGMOD Conference,,2017,Falcon: Scaling Up Hands-Off Crowdsourced Entity Matching to Build Cloud Services.
533453,Chris Jermaine,http://www.cs.rice.edu/~cmj4/,3120867,conf/sigmod/JermainePA04,SIGMOD Conference,,2004,Online Maintenance of Very Large Random Samples.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119789,conf/sigmod/DeshpandeLTDSRHD13,SIGMOD Conference,,2013,"Building, maintaining, and using knowledge bases: a report from the trenches."
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119850,conf/sigmod/Doan18,HILDA@SIGMOD,,2018,Human-in-the-Loop Data Analysis: A Personal Perspective.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119851,conf/sigmod/DoanABDGKLMPCZ17,HILDA@SIGMOD,,2017,Human-in-the-Loop Challenges for Entity Matching: A Midterm Report.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119852,conf/sigmod/DoanDH01,SIGMOD Conference,,2001,Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3119853,conf/sigmod/DoanRV06,SIGMOD Conference,,2006,Managing information extraction: state of the art and research directions.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3120310,conf/sigmod/GokhaleDDNRSZ14,SIGMOD Conference,,2014,Corleone: hands-off crowdsourcing for entity matching.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3120341,conf/sigmod/GovindKCMNLSMBZ19,SIGMOD Conference,,2019,Entity Matching Meets Data Science: A Progress Report from the Magellan Project.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3121332,conf/sigmod/LeeDDHD04,SIGMOD Conference,,2004,iMAP: Discovering Complex Mappings between Database Schemas.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3121946,conf/sigmod/MudgalLRDPKDAR18,SIGMOD Conference,,2018,Deep Learning for Entity Matching: A Design Space Exploration.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3121973,conf/sigmod/MuslehO0D20,SIGMOD Conference,,2020,CoClean: Collaborative Data Cleaning.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3122809,conf/sigmod/ShenDMDR08,SIGMOD Conference,,2008,Toward best-effort information extraction.
173134,AnHai Doan,http://www.cs.wisc.edu/~anhai/,3123567,conf/sigmod/WuYDM04,SIGMOD Conference,,2004,An Interactive Clustering-based Approach to Integrating Source Query interfaces on the Deep Web.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3118687,conf/sigmod/AnneserKZ0K22,SIGMOD Conference,,2022,Adaptive Hybrid Indexes.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3119072,conf/sigmod/BordawekarSAFK23,SIGMOD Conference Companion,,2023,Sixth International Workshop on Exploiting Artificial Intelligence Techniques for Data Management (aiDM).
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3119288,conf/sigmod/CenKMK21,aiDM@SIGMOD,,2021,LEA: A Learned Encoding Advisor for Column Stores.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3121120,conf/sigmod/KipfHPMK22,aiDM@SIGMOD,,2022,LSI: a learned secondary index structure.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3121121,conf/sigmod/KipfMRSKK020,aiDM@SIGMOD,,2020,RadixSpline: a single-pass learned index.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3121122,conf/sigmod/KipfVMKRLB0K19,SIGMOD Conference,,2019,Estimating Cardinalities with Deep Sketches.
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3121949,conf/sigmod/MuhlbauerRKK015,DanaC@SIGMOD,,2015,High-Performance Main-Memory Database Systems and Modern Virtualization: Friends or Foes?
197524,Andreas Kipf,https://people.csail.mit.edu/kipf/,3122181,conf/sigmod/PandeyKVM0K16,SIGMOD Conference,,2016,High-Performance Geospatial Analytics in HyPerSpace.
200753,Andreas Zfle,https://science.gmu.edu/directory/andreas-zufle,3119960,conf/sigmod/EmrichFKNRZ14,SIGMOD Conference,,2014,An extendable framework for managing uncertain spatio-temporal data.
200753,Andreas Zfle,https://science.gmu.edu/directory/andreas-zufle,3119961,conf/sigmod/EmrichKKRZ10,SIGMOD Conference,,2010,Boosting spatial pruning: on optimal pruning of MBRs.
200753,Andreas Zfle,https://science.gmu.edu/directory/andreas-zufle,3122929,conf/sigmod/SnowdonGZP18,GeoRich@SIGMOD,,2018,Spatiotemporal Traffic Volume Estimation Model Based on GPS Samples.
200753,Andreas Zfle,https://science.gmu.edu/directory/andreas-zufle,3123683,conf/sigmod/YangZ17,GeoRich@SIGMOD,,2017,Spatio-temporal prediction of social connections.
219159,Ang Chen 0001,https://www.cs.rice.edu/~angchen/,3118265,conf/sigmod/0001CSZZACLL22,SIGMOD Conference,,2022,Optimizing Data-intensive Systems in Disaggregated Data Centers with TELEPORT.
219159,Ang Chen 0001,https://www.cs.rice.edu/~angchen/,3123773,conf/sigmod/ZhangACACLL19,SIGMOD Conference,,2019,Optimizing Declarative Graph Queries at Large Scale.
224735,Ani Thakar,http://tarkus.pha.jhu.edu/~thakar/,3123059,conf/sigmod/SzalayGKT00,SIGMOD Conference,,2000,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey.
224735,Ani Thakar,http://tarkus.pha.jhu.edu/~thakar/,3123060,conf/sigmod/SzalayGTKMRSv02,SIGMOD Conference,,2002,The SDSS skyserver: public access to the sloan digital sky server data.
226557,Anindya Datta,http://www-static.cc.gatech.edu/computing/Database/faculty/datta.html,3119727,conf/sigmod/DattaDRTV01,SIGMOD Conference,,2001,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation.
226557,Anindya Datta,http://www-static.cc.gatech.edu/computing/Database/faculty/datta.html,3119728,conf/sigmod/DattaDTVSR02,SIGMOD Conference,,2002,Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3119429,conf/sigmod/ChenH0QZ22,SIGMOD Conference,,2022,Redundancy Elimination in Distributed Matrix Computation.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3119472,conf/sigmod/ChenX0MQZ21,SIGMOD Conference,,2021,Hybrid Evaluation for Distributed Iterative Matrix Computation.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3120896,conf/sigmod/JinQZ21,SIGMOD Conference,,2021,Efficient String Sort with Multi-Character Encoding and Adaptive Sampling.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3122122,conf/sigmod/OoiTZGLLLNSWZ03,SIGMOD Conference,,2003,PeerDB: Peering into Personal Databases.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3122281,conf/sigmod/PengGLQZ18,SIGMOD Conference,,2018,Persistent Bloom Filter: Membership Testing for the Entire History.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3122381,conf/sigmod/QiCZJZZX21,SIGMOD Conference,,2021,A Byzantine Fault Tolerant Storage for Permissioned Blockchain.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3123426,conf/sigmod/WangZZYZB16,SIGMOD Conference,,2016,Elastic Pipelining in an In-Memory Database Cluster.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3123884,conf/sigmod/ZhouQGZ07,SIGMOD Conference,,2007,Sonnet: an efficient distributed content-based dissemination broker.
266918,Aoying Zhou,http://www.iipl.fudan.edu.cn/staff/zhouay.html,3123889,conf/sigmod/ZhouWGGZWXYF03,SIGMOD Conference,,2003,TREX: DTD-Conforming XML to XML Transformations.
267225,Aparna S. Varde,https://www.montclair.edu/profilepages/view_profile.php?username=vardea,3123272,conf/sigmod/VardeRS07,SIGMOD Conference,,2007,AutoDomainMine: a graphical data mining system for process optimization.
278694,Armando Fox,https://www2.eecs.berkeley.edu/Faculty/Homepages/fox.html,3118722,conf/sigmod/ArmbrustLKFFP13,SIGMOD Conference,,2013,Generalized scale independence through incremental precomputation.
278694,Armando Fox,https://www2.eecs.berkeley.edu/Faculty/Homepages/fox.html,3118723,conf/sigmod/ArmbrustTFFPLTT10,SIGMOD Conference,,2010,PIQL: a performance insightful query language.
335830,Banu zden,http://pollux.usc.edu/~ozden/who/ozden.html,3122156,conf/sigmod/OzdenRSS96,SIGMOD Conference,,1996,Fault-tolerant Architectures for Continuous Media Servers.
354946,Ben Sowell,http://www.cs.cornell.edu/~sowell/,3118605,conf/sigmod/AlbrightDGGLKSSW08,SIGMOD Conference,,2008,SGL: a scalable language for data-driven games.
354946,Ben Sowell,http://www.cs.cornell.edu/~sowell/,3119767,conf/sigmod/DemersGKSW09,SIGMOD Conference,,2009,Database research in computer games.
361682,Benjamin Sowell,http://www.cs.cornell.edu/~sowell/,3119238,conf/sigmod/CaoSSDG11,SIGMOD Conference,,2011,BRRL: a recovery library for main-memory applications in the cloud.
361682,Benjamin Sowell,http://www.cs.cornell.edu/~sowell/,3119239,conf/sigmod/CaoSSYDGW11,SIGMOD Conference,,2011,Fast checkpoint recovery algorithms for frequently consistent applications.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3118310,conf/sigmod/0002SL07,SIGMOD Conference,,2007,Log-based recovery for middleware servers.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3121580,conf/sigmod/LometS89,SIGMOD Conference,,1989,Access Methods for Multiversion Data.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3121581,conf/sigmod/LometS90,SIGMOD Conference,,1990,The Performance of a Multiversion Access Method.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3121582,conf/sigmod/LometS92,SIGMOD Conference,,1992,Access Method Concurrency with Recovery.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3122639,conf/sigmod/SalzbergTGSUV90,SIGMOD Conference,,1990,FastSort: A Distributed Single-Input Single-Output External Sort.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3123045,conf/sigmod/SunWSZ05,SIGMOD Conference,,2005,Online B-tree Merging.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3123559,conf/sigmod/WuSSJSK05,SIGMOD Conference,,2005,Subsequence Matching on Structured Time Series Data.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3123560,conf/sigmod/WuSZ04,SIGMOD Conference,,2004,Online Event-driven Subsequence Matching over Financial Data Streams.
373235,Betty Salzberg,http://www.ccs.neu.edu/home/salzberg/,3123916,conf/sigmod/ZouS96,SIGMOD Conference,,1996,On-line Reorganization of Sparsely-populated B+trees.
374315,Bharat K. Bhargava,https://www.cs.purdue.edu/homes/bb/,3118971,conf/sigmod/Bhargava85,SIGMOD Conference,,1985,Reliability in Distributed Database Systems (Panel).
374315,Bharat K. Bhargava,https://www.cs.purdue.edu/homes/bb/,3122036,conf/sigmod/NesenB21,BiDEDE@SIGMOD,,2021,Towards situational awareness with multimodal streaming data fusion: serverless computing approach.
374315,Bharat K. Bhargava,https://www.cs.purdue.edu/homes/bb/,3122172,conf/sigmod/PalaciosZBA21,BiDEDE@SIGMOD,,2021,Auditable serverless computing for farm management.
374315,Bharat K. Bhargava,https://www.cs.purdue.edu/homes/bb/,3123816,conf/sigmod/ZhangNBB94,SIGMOD Conference,,1994,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems.
